id,label,code
37ddb884-988d-413e-be9d-15dc4b6554f8,1% body burns,T310
5641c059-de4f-4c55-83d7-32e9a8905519,10% body burns,T311
005672cb-6fe0-4cf3-9691-da1ca90380cc,20% body burns,T312
ac7b02a0-603f-4cac-8fa1-8b864ae592cb,30% body burns,T313
fb3cef00-481b-4c14-9029-54be8af76009,40% body burns,T314
3b3b8b33-3dc8-4e7f-bc05-6978015549e9,50% body burns,T315
38cf7eb3-4e6a-4340-b4c4-f7e85c335f86,60% body burns,T316
e65d2d73-865c-46d7-aa6e-a3366a90256a,70% body burns,T317
28fa3704-ce72-4efe-a1d7-d10c7a6359ff,80% body burns,T318
3becbd09-a332-459a-ade9-b69786a8c15c,AAA,I714
25a785aa-43bc-423b-bf60-60b2ac02485a,ABDOMEN CAVITY ABSCESS,K650
969177c9-003f-4f1a-95c1-04740e939c08,ABDOMEN CAVITY ABSCESS,P072
54eca677-dc24-498a-a45c-03df7ae1788a,ABDOMEN TRANSITIONAL CELLS TUMOUR,D487
ff7c6bcd-2bf9-492d-a97f-2682d720e764,ABDOMEN VASCULAR ISCHAEMIA,I99
6dcde098-9a79-4920-b876-4a344223dba7,ABDOMEN VENA CAVA ANASTOMOSIS,Y832
399cdb65-a6a6-40cd-95af-83814f498cf3,ABDOMEN VENA CAVA GRAFT,Y832
c8f0506c-5a52-4a37-a627-607c044f3586,ABDOMEN VILLOUS ADENOMA,D487
056c216c-e572-4699-88ed-33d49ca163ae,ABDOMEN VISCERA AMYLOIDOSIS,E854
3f30bcb5-63df-4f12-931a-c69044707caf,ABDOMEN VISCERA ANGIOSARCOMA,C762
27fe0651-7d99-4807-88d6-a70a1835f588,ABDOMEN VISCERA BLUNT FORCE TRAUMA,S368
f1aa5297-ba49-484c-9445-b0fc26b63aff,ABDOMEN VISCERA CARCINOMA,C762
0fc49ed8-3ac3-4306-83e5-e9c4b7fc0fe3,ABDOMEN VISCERA CONTUSION,S368
6b533078-a7cc-4efa-bac5-2cc835baa631,ABDOMEN VISCERA CRUSHING INJURY,S368
86621ab9-6cbe-46f0-926f-3820c6404446,ABDOMEN VISCERA ECTOPIA,Q458
74c542ae-6956-44cf-bb9c-958c4d434462,ABDOMEN VISCERA FIBROSARCOMA,C762
d6514d2b-fcbf-41dd-b56f-b4e517be16a1,ABDOMEN VISCERA GRAFT,Y832
de9cbce1-431d-48db-9195-c2d74aa3daf0,ABDOMEN VISCERA GROWTH,D487
a025e00f-9e50-42f4-ae7d-5d8ff1e0686c,ABDOMEN VISCERA GUNSHOT WOUND,S368
aa78e356-d9b8-4a08-b4d9-475cc2416c04,ABDOMEN VISCERA HAEMATOMA,S368
c4441676-4ba2-450a-8068-e7ea32ce58ed,ABDOMEN VISCERA INJURY,S368
24881daf-c1b0-49a2-8ea0-3d452610aa19,ABDOMEN VISCERA LACERATION,S368
55b630bb-718e-4470-b592-52472c2834ba,ABDOMEN VISCERA LIPOSARCOMA,C762
9c6f00dc-5bd4-41e1-8961-01fd9d8753cd,ABDOMEN VISCERA MELANOMA,C762
81459309-9101-4f0e-b710-cea3e96d770f,ABDOMEN VISCERA MESOEPITHELIOMA,C459
135b8c14-fb90-4329-98da-76c0b86a2ed5,ABDOMEN VISCERA MESOTHELIOMA,C459
8bd4b999-8607-40ba-9753-8ebc9c69df7a,ABDOMEN VISCERA METASTASES,C798
e41296f2-c5f4-472d-94c3-addfd39d3f51,ABDOMEN VISCERA MYXOLIPOSARCOMA,C762
3144b1e6-abe2-4063-b36e-e619fea126ba,ABDOMEN VISCERA NEOPLASM,D487
233bcc2e-02d7-4861-a720-358d63d76056,ABDOMEN VISCERA NEURILEMMOSARCOMA,C474
110453c5-6015-4da8-bcfc-bf4cb62c0277,ABDOMEN VISCERA PENETRATING WOUND,S368
6814c8ac-0847-4fdb-b5ad-8dcc19df0071,ABDOMEN VISCERA RUPTURED,R198
a74a5c86-3961-4b5b-8264-5e53015ded06,ABDOMEN VISCERA SARCOMA,C762
a1f2c508-458c-4e02-9cb7-74f875eb2693,ABDOMEN VISCERA STAB WOUND,S368
3cf25cd3-8a17-43ad-8a55-bb56323b19c6,ABDOMEN VISCERA TRANSPOSITION,Q893
bad2954d-8c07-442a-8fd9-acd8d225b84b,ABDOMEN VISCERA TRAUMA,S368
ce9ced91-59c2-4863-aa5a-057e9fd7feba,ABDOMEN VISCERA TUMOUR,D487
ec11088e-2994-41f5-83bd-a45cdfc09d88,ABDOMEN VISCUS AMYLOIDOSIS,E854
705ac505-5686-474c-8a89-ad99ba7f68a9,ABDOMEN VISCUS ANGIOSARCOMA,C762
9174e561-3e63-4b27-a37d-e2104b9f1b4c,ABDOMEN VISCUS BLUNT FORCE TRAUMA,S368
6835c554-f75c-45bb-a808-187b4866a993,ABDOMEN VISCUS CARCINOMA,C762
5b3aeafa-efa0-464f-915e-56deefc083ed,ABDOMEN VISCUS CONTUSION,S368
fe225d79-8812-4376-a69d-473cf01ded5e,ABDOMEN VISCUS CRUSHING INJURY,S368
c8a98209-70f0-40d2-b32d-31b49f8cdacf,ABDOMEN VISCUS ECTOPIA,Q458
38e73c92-dd00-4c21-b5ee-e946b6845248,ABDOMEN VISCUS FIBROSARCOMA,C762
78ea7dab-6ce5-4438-a5ca-6a22db9f8c8a,ABDOMEN VISCUS GRAFT,Y832
4f018021-bb7f-4ae9-9d0b-60c763618f9c,ABDOMEN VISCUS GROWTH,D487
cc9dbeb3-9b85-420f-8817-ca3e6123adff,ABDOMEN VISCUS GUNSHOT WOUND,S368
182b7780-22d3-4a5c-9e4d-9e059a090849,ABDOMEN VISCUS HAEMATOMA,S368
386cf97d-efba-4528-98a6-0bc9fd712463,ABDOMEN VISCUS INJURY,S368
ac0d8e6e-5580-493d-ba41-722d07e31969,ABDOMEN VISCUS LACERATION,S368
69b8e137-12ff-4a04-b41a-47e21a31df33,ABDOMEN VISCUS LIPOSARCOMA,C762
fb16ab76-4e47-487a-96e4-b4811317308b,ABDOMEN VISCUS MELANOMA,C762
f280db7c-aa73-4f15-8b4e-a12af4d87a3f,ABDOMEN VISCUS MESOEPITHELIOMA,C459
38da97b9-dced-4232-93c7-40ed02bd0588,ABDOMEN VISCUS MESOTHELIOMA,C459
e902d29a-90c9-40f1-ae44-faf42c99d048,ABDOMEN VISCUS METASTASES,C798
51d1e892-c554-4797-979b-bf134923b8d1,ABDOMEN VISCUS MYXOLIPOSARCOMA,C762
046684e0-b0cc-4eb7-8a41-bc2198063139,ABDOMEN VISCUS NEOPLASM,D487
e82a53da-67b7-4458-b11f-d81cf6861104,ABDOMEN VISCUS NEURILEMMOSARCOMA,C474
9bf097c9-d112-40f4-9b65-30c3ffa43f42,ABDOMEN VISCUS PENETRATING WOUND,S368
9f5fa619-e5b2-4aaa-8005-69308f2ccd0a,ABDOMEN VISCUS RUPTURED,R198
61322330-cb29-4f7e-93e8-cae924fffd53,ABDOMEN VISCUS SARCOMA,C762
d1a38f85-47df-432e-b25c-cc2c3f433b61,ABDOMEN VISCUS STAB WOUND,S368
689945d3-8544-4398-b03e-446e98ce5a0c,ABDOMEN VISCUS TRANSPOSITION,Q893
bb9cde28-9856-4a57-8c54-37cdea242977,ABDOMEN VISCUS TRAUMA,S368
534a76ea-6002-43e5-a243-ab8fc382e9c8,ABDOMEN VISCUS TUMOUR,D487
88ece375-32e8-4061-9351-533caf1adc7c,ABDOMEN WALL ABSCESS,L022
824d0710-33bc-431f-a3ba-b6737f97b835,ABDOMEN WALL ABSENCE,R999
7cdd0f9e-bb59-4363-9caa-7c35982cc582,ABDOMEN WALL ANGIOSARCOMA,C494
893e35cb-85f1-4ba1-a7da-8b1c45104114,ABDOMEN WALL ANOMALY,Q795
5f20e99d-69d6-429b-b4f8-d545ccc31437,ABDOMEN WALL ATONY,M628
8f0d574a-d4ee-4f8b-9e78-0c4733c1e4bf,ABDOMEN WALL AVULSION,S311
a97bd3c2-93c1-4db8-943f-a2751d57b818,ABDOMEN WALL BASAL CELLS CARCINOMA,C445
127e9179-f466-49ae-8cae-e952560585d6,ABDOMEN WALL BASAL CELLS EPITHELIOMA,C445
59a625a4-3dd9-40c2-b3f6-e151f1871470,ABDOMEN WALL BLUNT FORCE TRAUMA,S399
3d67301f-3bac-4d6c-b574-8db8a31427c9,ABDOMEN WALL CARCINOMA,C445
fe8ed0cd-db0f-40fc-a5cc-808bea3fc8a6,ABDOMEN WALL CELLULITIS,L033
0898c2ae-04b3-421a-96a9-74674456266a,ABDOMEN WALL CLOSURE,Y834
2d248a2d-133f-4db1-8ad1-2c2e08b49f8d,ABDOMEN WALL CONTUSION,S301
5d70c7d2-0422-4cb3-ae88-a0b2ffd863c4,ABDOMEN WALL DEFECT,Q795
21cb9bf4-ef2b-4c4b-8068-4cd407284c24,ABDOMEN WALL DERMATOFIBROSARCOMA,C445
0c9a835e-3f04-496c-9920-674f6ab8c3bb,ABDOMEN WALL EPITHELIOMA,C445
582f6115-ffb2-47a8-af7a-aaac84271c36,ABDOMEN WALL FASCIITIS,M729
